lattice_sizes,block sizes,gputime,gputime_tot,diff,cputime,savetime
32x32,4x4,56.712,57.0001,0,10.5568,0.185206
32x32,8x8,59.8652,60.1353,0,10.5648,0.175684
32x32,16x16,61.6903,61.9592,0,10.5487,0.170253
32x32,32x32,61.4821,61.75,0,10.5666,0.171119
64x64,4x4,239.263,239.543,5.82077e-11,162.685,0.679147
64x64,8x8,230.361,230.643,5.82077e-11,163.001,0.706726
64x64,16x16,230.058,230.341,5.82077e-11,162.59,0.705868
64x64,32x32,231.18,231.464,5.82077e-11,162.692,0.702882
128x128,4x4,937.362,937.702,0,2445.05,2.60749
128x128,8x8,861.867,862.212,0,2445.99,2.83688
128x128,16x16,828.067,828.418,0,2445.24,2.9517
128x128,32x32,828.822,829.162,0,2444.07,2.94764
256x256,4x4,5344.48,5345.06,5.82077e-11,35262.8,6.59727
256x256,8x8,3369.36,3369.96,5.82077e-11,35249.6,10.4599
256x256,16x16,3054.13,3054.67,5.82077e-11,35264.2,11.5444
256x256,32x32,3961.57,3962.12,5.82077e-11,35248,8.89624
